customer_id,age,income,purchase_frequency,customer_segment,satisfaction_score
67,30,48320,1,Basic,73
26,66,84829,38,Premium,84
16,61,58222,1,Basic,78
67,32,65101,40,Premium,83
22,55,54867,7,Basic,46
43,52,125821,14,Premium,84
20,51,125253,37,VIP,100
47,70,66159,9,Basic,88
30,47,104305,23,Premium,74
15,74,47394,3,Basic,46
23,73,54961,1,Basic,63
24,64,150000,35,VIP,100
85,69,84471,12,Premium,83
89,31,61493,24,Basic,86
33,40,91670,30,Premium,86
22,45,117489,14,Premium,67
37,41,94073,40,Premium,93
7,62,62970,1,Basic,72
56,75,95110,38,Premium,90
71,42,82533,22,Premium,65
17,59,128822,48,VIP,100
32,43,112814,24,Premium,93
32,75,142792,46,VIP,100
57,46,57957,4,Basic,86
29,59,145107,41,VIP,100
45,64,113325,16,Premium,88
35,59,114690,20,Premium,65
37,63,79673,44,VIP,100
36,54,84729,22,Premium,85
28,73,106244,27,Premium,63
22,69,36030,1,Basic,39
27,80,150000,47,VIP,100
28,38,113615,23,Premium,93
31,69,46813,44,Premium,64
31,46,99832,18,Premium,52
82,71,98373,24,Premium,100
27,64,51696,29,Basic,44
82,51,144145,52,VIP,100
82,24,67190,3,Basic,47
30,53,102773,16,Premium,88
29,55,96918,15,Premium,81
100,45,89573,14,Premium,87
26,68,141731,19,Premium,77
78,28,44540,22,Basic,77
55,49,71028,34,Premium,90
26,61,144001,52,VIP,100
37,47,109504,21,Premium,70
96,44,78243,41,Premium,76
24,68,112986,14,Premium,72
24,59,101461,45,VIP,100
35,64,144172,52,VIP,100
20,64,69877,17,Basic,49
26,74,75592,26,Premium,97
29,35,91929,15,Premium,55
93,72,79000,10,Premium,90
100,69,89412,20,Premium,88
89,35,68182,3,Basic,85
41,73,150000,25,Premium,98
40,60,150000,48,VIP,100
25,70,50693,7,Basic,56
45,69,150000,39,VIP,100
24,65,150000,51,VIP,100
23,47,118562,29,Premium,93
33,63,148936,38,VIP,100
22,38,148080,45,VIP,100
14,58,144231,41,VIP,100
13,73,49730,22,Basic,65
23,33,93426,29,Premium,64
17,69,67757,4,Basic,80
100,53,89353,34,Premium,90
18,70,92220,30,Premium,93
44,69,53502,4,Basic,46
42,71,117297,29,Premium,54
56,64,150000,43,VIP,100
40,63,69214,31,Basic,87
28,70,77399,23,Premium,74
26,44,133111,27,Premium,96
52,68,61235,8,Basic,84
11,42,99009,26,Premium,79
13,46,51403,12,Basic,67
89,58,68676,1,Basic,42
40,56,125689,14,Basic,68
19,78,100605,51,VIP,100
28,71,88181,46,Premium,59
27,68,102832,18,Premium,70
41,39,90931,23,Premium,61
14,57,83856,35,Premium,62
86,38,62387,8,Basic,68
32,56,150000,49,VIP,100
25,62,145517,39,VIP,99
23,58,118020,52,VIP,100
26,66,129174,16,Premium,83
29,68,98493,26,Premium,64
32,69,105768,18,Premium,68
7,61,53456,13,Basic,70
81,63,130593,30,Premium,75
15,67,123614,52,VIP,100
14,43,131202,47,VIP,100
28,54,79600,28,Premium,59
34,70,131956,40,VIP,100
78,56,38538,24,Basic,67
25,66,150000,40,VIP,100
74,78,97091,27,Premium,84
14,31,50039,5,Basic,39
38,50,121626,11,Premium,100
36,67,80929,14,Premium,86
28,61,63214,11,Basic,73
20,69,92096,28,Premium,90
20,49,97592,16,Premium,61
38,64,63306,21,Basic,75
29,42,150000,42,VIP,100
11,62,142718,40,VIP,100
40,63,150000,48,VIP,100
30,79,97908,25,Premium,93
20,44,109689,9,Premium,87
69,33,93171,20,Premium,82
26,65,59818,4,Basic,73
26,61,101137,9,Basic,76
28,69,150000,43,VIP,100
14,63,46495,28,Basic,74
24,71,150000,39,VIP,100
51,68,150000,37,VIP,100
22,37,64156,5,Basic,47
72,74,62088,4,Basic,76
19,66,55252,12,Basic,83
30,65,91080,24,Premium,55
11,67,57508,12,Basic,47
96,59,97294,5,Basic,83
16,71,150000,30,Premium,100
100,57,106561,21,Premium,93
74,26,150000,51,VIP,100
54,49,91738,7,Basic,48
7,71,147324,43,VIP,100
85,60,48200,29,Basic,78
42,80,126949,18,Premium,86
30,65,142595,52,VIP,100
48,66,126471,40,VIP,100
23,73,89315,19,Premium,66
26,33,58830,32,Premium,91
31,47,99311,27,Premium,93
33,78,100889,23,Premium,96
78,68,68269,4,Basic,64
74,56,125135,19,Premium,90
38,46,125658,26,Premium,71
17,72,50853,4,Basic,74
27,68,63940,10,Basic,89
26,78,59101,23,Premium,64
84,40,59395,31,Basic,85
26,60,150000,34,VIP,100
22,40,100914,49,VIP,100
13,56,65896,1,Basic,96
24,50,89377,34,Premium,88
23,70,147034,52,VIP,100
20,40,48491,9,Basic,81
35,71,55761,1,Basic,46
32,67,79092,24,Premium,61
72,60,150000,46,VIP,100
27,50,95640,24,Premium,89
23,73,96562,35,Premium,65
89,57,150000,52,VIP,100
14,62,61549,11,Basic,66
18,62,71169,20,Basic,81
27,75,150000,33,VIP,100
51,74,59851,3,Basic,78
37,72,108307,17,Premium,95
16,53,62212,1,Basic,74
56,65,147787,52,VIP,100
32,65,97166,27,Premium,85
79,53,57012,23,Basic,85
20,43,134659,45,VIP,100
80,70,68375,6,Basic,83
85,68,105501,9,Premium,65
29,80,113763,16,Premium,78
100,79,86376,19,Premium,85
13,64,146746,52,VIP,100
74,63,65479,22,Premium,61
87,72,57836,6,Basic,85
12,61,58775,1,Basic,56
13,70,62142,6,Basic,91
100,40,108219,34,Basic,79
26,73,65668,6,Basic,80
23,72,131507,40,VIP,100
8,70,58900,1,Basic,47
40,60,150000,46,VIP,100
17,71,50615,35,Basic,66
21,37,125942,17,Premium,88
20,80,70206,39,Premium,60
24,36,150000,50,VIP,100
77,38,55353,1,Basic,38
15,69,64898,19,Basic,85
38,53,74958,18,Premium,82
20,59,145519,51,VIP,100
91,67,144640,34,VIP,100
85,63,150000,48,VIP,100
41,53,96751,22,Premium,72
99,63,81048,21,Premium,84
12,58,150000,45,VIP,100
7,58,143507,43,VIP,100
64,74,92713,22,Premium,92
84,56,102330,31,Premium,91
26,66,102399,12,Premium,82
36,51,88671,39,Premium,64
30,64,114225,19,Premium,55
30,73,87733,32,Premium,52
11,67,72686,1,Basic,76
65,67,116394,27,Premium,86
47,36,64933,23,Basic,71
31,58,110468,36,VIP,100
40,80,80603,15,Premium,81
21,62,150000,52,VIP,100
86,74,147916,43,VIP,100
89,61,127585,48,VIP,100
33,40,139679,31,Premium,100
12,71,60600,22,Basic,82
24,45,78192,24,Premium,84
63,62,143702,31,VIP,100
29,46,100110,10,Basic,82
53,70,150000,33,VIP,100
81,68,150000,37,Premium,76
21,67,106932,26,Premium,89
14,58,57375,16,Basic,46
43,69,138471,39,VIP,100
24,39,113006,22,Basic,53
81,67,127774,27,Premium,100
45,68,127944,14,Premium,82
84,70,105432,28,Premium,43
20,40,102119,28,Premium,90
37,48,98762,18,Premium,91
22,24,62420,3,Basic,72
60,60,135051,46,VIP,100
61,65,126517,41,VIP,100
2,23,61852,16,Basic,41
84,64,44340,9,Basic,79
87,51,104050,24,Premium,85
82,63,92768,20,Basic,84
16,41,54893,1,Basic,71
40,52,126988,25,Premium,93
5,64,103913,52,VIP,100
93,53,77754,27,Basic,70
35,65,150000,34,VIP,100
29,43,82415,11,Premium,56
95,65,115138,23,Basic,95
35,53,117581,20,Premium,69
32,56,150000,44,VIP,100
75,79,101821,12,Premium,83
17,22,54400,25,Basic,70
24,65,37072,19,Basic,70
58,69,87599,34,Basic,86
83,32,115175,14,Premium,81
36,52,94734,15,Premium,76
69,59,54721,15,Basic,47
39,76,96837,18,Premium,82
70,68,56825,24,Basic,53
24,71,48901,19,Basic,77
26,50,83504,27,Basic,66
25,47,67189,24,Basic,75
18,77,41670,20,Basic,62
73,33,47835,5,Basic,77
13,63,58174,14,Basic,57
34,68,150000,43,VIP,100
25,77,145027,29,VIP,100
91,48,100670,29,Basic,89
83,42,150000,48,VIP,100
33,68,64049,3,Basic,94
27,40,132911,38,VIP,100
11,74,63578,30,Basic,73
25,64,92001,24,Basic,66
29,44,143180,31,VIP,100
29,80,119357,31,VIP,100
26,46,87266,25,Premium,80
56,44,128722,33,VIP,100
77,69,146306,44,VIP,100
21,75,123985,18,Premium,94
100,79,111358,36,Basic,91
32,48,79886,19,Premium,83
15,73,138692,50,VIP,100
28,72,55626,9,Basic,68
66,61,146647,38,VIP,98
50,50,61687,6,Basic,95
54,35,68051,28,Basic,77
42,71,51628,7,Basic,76
62,51,112418,22,Basic,84
14,60,150000,40,VIP,100
56,68,150000,29,VIP,100
19,46,62069,33,Basic,71
47,65,143630,45,VIP,100
64,73,150000,36,VIP,100
43,67,95719,9,Basic,76
19,27,76521,35,Basic,65
1,62,62768,27,Basic,81
33,51,100114,10,Premium,84
21,24,57507,1,Basic,72
25,46,74641,37,Premium,87
25,36,61274,17,Basic,85
16,63,53694,10,Basic,85
60,60,65333,10,Basic,86
35,67,114321,29,Premium,82
98,49,115657,24,Premium,80
19,60,129851,42,VIP,100
87,51,99666,24,Premium,86
44,66,138737,41,VIP,100
21,64,60963,21,Basic,48
34,70,71620,38,Premium,85
24,66,134116,48,VIP,100
36,37,97200,45,VIP,100
21,24,111311,26,Premium,64
29,71,71347,39,Premium,81
84,47,106648,22,Premium,86
30,43,103597,23,Premium,93
28,57,105815,29,Premium,86
90,20,105061,34,Premium,62
32,60,133313,34,VIP,100
13,62,65803,4,Basic,59
87,53,150000,23,VIP,100
20,64,81790,26,Premium,66
73,64,66755,18,Basic,64
84,72,100949,15,Premium,63
77,64,64166,1,Basic,64
59,63,150000,45,VIP,100
46,29,107352,42,VIP,100
18,69,145567,47,VIP,100
58,74,131366,41,VIP,100
26,52,81669,32,Premium,68
28,47,150000,35,VIP,100
51,55,141684,37,VIP,100
91,73,68743,8,Basic,46
31,30,48000,2,Basic,74
86,52,81266,24,Basic,45
48,75,59531,1,Basic,78
57,68,150000,37,VIP,100
45,46,114878,21,Premium,80
33,59,150000,45,VIP,100
29,74,142285,44,VIP,100
62,71,81902,29,Basic,69
85,33,70913,18,Basic,81
49,62,127424,37,VIP,100
10,65,119804,51,VIP,100
26,64,56155,35,Basic,94
29,54,89935,12,Premium,90
65,51,125011,21,Premium,96
57,36,150000,39,VIP,100
39,46,114130,15,Premium,98
32,70,51821,27,Basic,72
36,43,91797,14,Premium,76
22,64,105891,9,Premium,84
68,59,49801,14,Basic,75
43,77,89236,48,VIP,100
20,27,105373,29,Premium,99
12,62,131401,46,VIP,98
31,67,147606,52,VIP,100
7,69,150000,51,VIP,100
28,58,113651,18,Premium,89
48,44,65734,5,Basic,81
69,70,53845,2,Basic,80
49,71,150000,32,VIP,100
20,71,48252,5,Basic,45
25,64,65174,22,Basic,47
7,65,144591,42,VIP,100
84,66,121002,52,VIP,100
20,44,86928,22,Premium,88
19,58,60308,8,Basic,75
34,39,150000,40,VIP,100
25,56,150000,40,VIP,100
49,45,125127,16,Premium,76
32,57,125417,30,VIP,100
100,73,93367,38,Premium,76
83,71,59033,2,Basic,79
63,38,96493,20,Basic,75
41,76,119315,41,VIP,95
83,43,136578,2,Premium,85
21,53,104354,26,Basic,96
19,68,105561,14,Premium,70
20,67,110163,31,Premium,86
13,60,89695,20,Basic,42
12,50,56295,39,Basic,58
26,54,42980,22,Basic,63
18,32,51752,6,Basic,73
23,30,138104,42,VIP,100
56,53,150000,49,VIP,100
37,57,150000,40,VIP,100
31,68,100008,21,Basic,83
8,64,150000,41,VIP,100
73,59,120102,28,VIP,97
15,64,44141,7,Basic,78
27,64,130327,44,VIP,100
14,71,58646,4,Basic,75
87,66,117431,24,Basic,80
96,69,85498,14,Premium,85
87,65,85098,24,Basic,58
24,26,52428,1,Basic,63
8,66,60053,30,Basic,87
75,65,148941,44,VIP,100
78,75,57128,14,Basic,71
26,66,150000,31,VIP,100
27,27,57614,13,Premium,75
100,74,69480,1,Basic,85
27,80,97883,19,Premium,65
25,70,54312,1,Basic,68
33,80,113671,17,Premium,98
14,68,108650,28,Premium,55
76,39,60112,25,Basic,77
20,44,99453,21,Basic,91
21,34,89672,7,Basic,61
35,68,94022,15,Premium,75
80,58,51289,3,Basic,72
32,63,98733,28,Premium,86
100,73,98047,28,Premium,87
